"","criterion","95%LB","95%UB","mean"
"1","maxprofit",1504.95046736332,1556.63370720465,1530.79208728398
"2","maxcs",1512.755222084,1564.53140036441,1538.64331122421
"3","maxtotalwelfare",1540.19871649476,1592.27981745836,1566.23926697656
"4","mostsold",1393.36637703335,1438.61301986056,1415.98969844696
"5","mostrated",1360.40337950376,1405.17338262735,1382.78838106556
"6","highestrating",1360.84009593662,1405.99161994778,1383.4158579422
"7","random",1355.90134710757,1401.1045510766,1378.50294909209
