"","criterion","95%LB","95%UB","mean"
"1","maxprofit",792.525257402954,817.658125922154,805.091691662554
"2","maxcs",723.027166394412,746.689444086729,734.858305240571
"3","maxtotalwelfare",769.151071899306,794.389792571032,781.770432235169
"4","mostsold",719.899454497845,742.600742260421,731.250098379133
"5","mostrated",692.657948432658,714.856297660023,703.75712304634
"6","highestrating",687.288282853369,709.30334393717,698.295813395269
"7","random",692.160977047735,715.120629422871,703.640803235303
