X,packagename,packagename_orig,logprice,movie_group,start_date,price_orig,cost_no_vat,augsales,imdb_rating,imdb_votes
44,003018_LUS_ZACKMIRIFAZEMPORNO_,003018_LUS_ZACKMIRIFAZEMPORNO_,5.293304825,70K,9/20/13 0:00,199,100,26,6.7,125398
45,003150_LUS_DIARIODAPRINCESA_,003150_LUS_DIARIODAPRINCESA_,5.293304825,50K,2/7/14 0:00,199,100,0,6.1,63651
46,003249_LUS_HARRYPOTTERPRISAZK_,003249_LUS_HARRYPOTTERPRISAZK_,5.293304825,140K,10/18/13 0:00,199,100,65,7.8,275785
47,004354_LUS_HARRYPOTTPRINCMIST_,004354_LUS_HARRYPOTTPRINCMIST_,5.293304825,50K,10/18/13 0:00,199,100,120,7.4,227252
48,004421_LUS_INIMIGOSPUBLICOS_,004421_LUS_INIMIGOSPUBLICOS_,5.855071922,70K,9/20/13 0:00,349,149,11,7,178877
49,004459_LUS_BONES2_,004459_LUS_BONES2_,5.700443573,100K,11/15/13 0:00,299,149,96,4.3,380
50,004537_LUS_PARAMINHAIRMA_,004537_LUS_PARAMINHAIRMA_,5.293304825,50K,10/18/13 0:00,199,100,46,7.4,54960
51,004795_LUS_ORFA_,004795_LUS_ORFA_,5.517452896,50K,10/18/13 0:00,249,100,238,7,98018
52,004798_LUS_PORAMOR_,004798_LUS_PORAMOR_,5.855071922,70K,9/6/13 0:00,349,149,14,6.3,5896
53,005372_LUS_PLANETA51_VP_,005372_LUS_PLANETA51_VP_,5.293304825,70K,9/6/13 0:00,199,100,68,6.1,33092
54,005403_LUS_NINJASSASSI_,005403_LUS_NINJASSASSI_,5.293304825,50K,10/18/13 0:00,199,100,50,6.4,48995
55,005736_LUS_JOGO_HD_,005736_LUS_JOGO_HD_,5.855071922,50K,1/10/14 0:00,349,149,9,5.8,90396
56,005738_LUS_REIESCORPIAO_,005738_LUS_REIESCORPIAO_,5.700443573,50K,2/7/14 0:00,299,149,0,5.5,75721
57,007405_LUS_ASTROBOY_,007405_LUS_ASTROBOY_,5.855071922,70K,9/20/13 0:00,349,149,14,6.4,19830
58,008147_LUS_HOMEMDEFERRO2_,008147_LUS_HOMEMDEFERRO2_,5.855071922,100K,11/15/13 0:00,349,149,268,7.1,331935
59,008179_LUS_OSMERCENARIOS_,008179_LUS_OSMERCENARIOS_,5.988961417,70K,9/20/13 0:00,399,170,57,6.5,192777
60,008413_LUS_ECLIPSE_,008413_LUS_ECLIPSE_,5.988961417,50K,1/10/14 0:00,399,238,22,4.9,144112
61,008492_LUS_DARTACAO_OFILME_,008492_LUS_DARTACAO_OFILME_,5.293304825,50K,10/18/13 0:00,199,100,32,7.6,787
62,008535_LUS_CARTASPARAJULIETA_,008535_LUS_CARTASPARAJULIETA_,5.988961417,70K,9/6/13 0:00,399,170,38,6.5,49029
63,008541_LUS_GRANDEMOCAMEU_,008541_LUS_GRANDEMOCAMEU_,5.293304825,70K,9/20/13 0:00,199,100,24,6.8,9
64,008742_LUS_HACHIKO_,008742_LUS_HACHIKO_,5.988961417,50K,12/13/13 0:00,399,170,38,8.2,74449
