"","criterion","95%LB","95%UB","mean"
"1","maxprofit",708.297106438438,743.103684804423,725.700395621431
"2","maxcs",785.949097147971,821.620914819298,803.785005983635
"3","maxtotalwelfare",766.534467295305,802.403202187475,784.46883474139
"4","mostsold",669.728910524496,699.750289611155,684.739600067826
"5","mostrated",664.177139622978,693.885376415455,679.031258019217
"6","highestrating",670.110196581218,700.129892512644,685.120044546931
"7","random",660.02566888169,689.698622831877,674.862145856783
